Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
647	37812.6	8908.7	37812.6	8908.7	1589.38342	43173.76172	349.14142	0.75377	0.93614	1123.82507	43506.28125	164	4	1	1	42.9084	42.9084	7771.27711	4.04922	37812.6	8908.7	37812.6	8908.7
647	21958.0	13561.1	21958.0	13561.1	1385.79004	12927.32227	392.52383	0.57393	0.63542	1516.97119	13666.21875	164	1	2	1	242.908	242.908	2326.91801	9.53055	21958.0	13561.1	21958.0	13561.1
647	10489.6	11886.8	10489.6	11886.8	2857.51685	28184.25977	407.96481	1.33049	1.43466	1447.74365	30761.14844	166	1	3	1	-121.32	-121.32	5073.16676	5.08032	10489.6	11886.8	10489.6	11886.8
647	12376.8	5188.6	12376.8	5188.6	1598.49609	19848.72070	330.70523	0.01198	0.80150	1348.69995	21174.40625	170	2	0	1	94.1904	94.1904	3572.76973	6.01077	12376.8	5188.6	12376.8	5188.6
647	25955.1	2418.6	25955.1	2418.6	1011.54150	5780.40332	305.73920	0.92542	0.84482	985.84814	6086.44141	173	1	0	1	71.4798	71.4798	1040.47260	10.59618	25955.1	2418.6	25955.1	2418.6
647	14391.3	7634.8	14391.3	7634.8	1013.40607	6820.77051	330.92657	0.09660	1.06985	1164.17529	7315.41016	174	1	0	1	8.928	8.928	1227.73869	11.23416	14391.3	7634.8	14391.3	7634.8
647	20402.3	20707.3	20402.3	20707.3	1366.44507	11046.84961	362.59665	0.85702	1.15673	1357.35120	11709.87500	176	1	3	1	-27.36	-27.36	1988.43293	9.11369	20402.3	20707.3	20402.3	20707.3
647	14303.9	7451.2	14303.9	7451.2	1269.29175	6693.31299	293.49268	1.44991	0.95356	1199.85059	7005.32031	178	1	4	1	45.1062	45.1062	1204.79634	9.34322	14303.9	7451.2	14303.9	7451.2
647	31630.7	6853.4	31630.7	6853.4	1551.73633	9272.51270	312.06882	0.85651	1.10247	1138.88684	9621.54297	179	1	1	1	10.224	10.224	1669.05229	7.65730	31630.7	6853.4	31630.7	6853.4
647	12031.0	19004.3	12031.0	19004.3	1169.29004	11655.73535	427.20532	0.48262	1.78418	1191.03125	12572.03125	182	1	5	1	-184.824	-184.824	2098.03236	11.05325	12031.0	19004.3	12031.0	19004.3
647	25946.9	2433.9	25946.9	2433.9	1141.80530	11788.60449	299.28531	1.19406	0.91769	981.97327	12197.61719	183	2	0	1	52.4322	52.4322	2121.94881	7.08226	25946.9	2433.9	25946.9	2433.9
647	20416.0	20755.4	20416.0	20755.4	1305.22449	13878.22559	414.96967	0.15735	1.83652	1333.69446	14591.52344	184	1	4	1	-175.752	-175.752	2498.08061	9.38030	20416.0	20755.4	20416.0	20755.4
647	25959.6	2419.1	25959.6	2419.1	1123.73022	12393.91309	299.40012	1.19575	0.93194	978.60120	12738.08594	187	2	0	1	49.5018	49.5018	2230.90436	6.77176	25959.6	2419.1	25959.6	2419.1
647	25926.7	2412.2	25926.7	2412.2	1122.77734	14519.14746	319.02844	0.49601	0.75957	971.44434	15281.01563	190	2	0	1	102.982	102.982	2613.44654	6.56167	25926.7	2412.2	25926.7	2412.2
647	25942.5	2429.6	25942.5	2429.6	1243.04358	16364.60742	319.73840	0.43469	0.77911	956.86169	16549.55469	193	2	0	1	96.3882	96.3882	2945.62934	5.90148	25942.5	2429.6	25942.5	2429.6
647	20397.2	20750.3	20397.2	20750.3	1100.52795	8947.85840	372.95831	0.43340	1.45040	1271.89209	9174.85547	193	1	1	1	-88.272	-88.272	1610.61451	11.29401	20397.2	20750.3	20397.2	20750.3
647	25941.5	2436.5	25941.5	2436.5	1194.63452	6314.32813	293.46735	1.42263	0.85865	990.38440	6643.16406	198	1	0	1	66.3516	66.3516	1136.57906	9.14024	25941.5	2436.5	25941.5	2436.5
647	19851.0	2983.8	19851.0	2983.8	1008.58746	6305.91895	319.21191	0.45382	0.99860	979.63824	6777.72656	198	1	1	1	29.7216	29.7216	1135.06541	10.55481	19851.0	2983.8	19851.0	2983.8
647	25967.7	2422.6	25967.7	2422.6	1037.10706	7416.16699	341.48853	0.47503	0.85755	989.84515	7852.58594	201	1	0	1	75.8754	75.8754	1334.91006	10.33240	25967.7	2422.6	25967.7	2422.6
